Username,Tweet,Retweet_Count,Favourite_Count,Date
=@GeopoliticalCen,"=@netblocks hi, some report talking about the suspension of internet service in Wuhan. Can you help us to solve the mystery?",0,0,20 44 2020 02:44.PM
=@unBEARablyPolar,"@kill_bill_10 There are 7 coronaviruses known to cause diseases in humans, the one discovered in WuHan was the 7th. 

They were referencing the four CoronaViruses that cause the common cold, the one that causes SARS, or the one that causes MERS.

Cheers!",0,0,20 44 2020 02:44.PM
=@ParisForever81,"@russian_market Soon it will be, China is removing Wuhan from the map #Coronavius",0,0,20 43 2020 02:43.PM
=@MarcheEdge,=@russian_market Videos coming out of Wuhan are probably questioning the accuracy of the data provided by the CCP...,0,0,20 43 2020 02:43.PM
=@WarsontheBrink,South Korea Reports 51 new cases of #coronavirus in the last 24 hours.  Is South Korea slowly becoming the next #Wuhan?,0,0,20 43 2020 02:43.PM
=@coyionelife,Coronavirus shock: Fears thick smog over Wuhan may be China burning infected bodies | World | News | https://t.co/kznvB088yU https://t.co/sTPgCKbMLb,0,0,20 43 2020 02:43.PM
=@PairsonnalitesU,"Fighting Stigma :  India's 1st COVID-19 patient recovers, may go home soon: India's first novel coronavirus-confirmed patient in Thrissur has been on the ... The medical student at Wuhan University had approached the health ... https://t.co/L5gXevjt12",0,0,20 43 2020 02:43.PM
=@CorbeauxInvest,@QandA @StanGrantMOF @jasonyatsenli @xu_xiuzhong Yes..Ask Him about Body Parts from Failing Gong & Uyghurs!? Ask Him about Real numbers of dead from Wuhan virus that have been cremated!,0,0,20 43 2020 02:43.PM
=@JoRusky3,GERM WARFARE......China deploys 40 incinerators to Wuhan amid coronavirus outbreak - https://t.co/vZvwzXgwAR,0,0,20 42 2020 02:42.PM
=@kova_mario,=@EpOdorico @DrJacobsRad This particular virus would not be a very good candidate for weaponization. Although it’s very likely that poor containment protocols at the lab are still implicated. the worlds leading experts on corona viruses have collected thousands of samples and conduct research in Wuhan.,0,0,20 42 2020 02:42.PM
=@ives_zana,The Eyes of Darkness... #Novel  by Dean Koontz predicted the #coronavirus outbreak! https://t.co/WhHUEtbPsk #book #books #novel #goodreads #goodread #ChinaCoronaVirus https://t.co/pq7748oHgp,0,0,20 42 2020 02:42.PM
=@Polly72467761,@GMB @TomBartonITV We took far too long to rescue our uk citizens like to see if @DominicRaab would have stayed on their this long !! We was the last to rescue or citizens out Wuhan too. if you are going to cost the Govt money you are doomed ! We are not classed as humans just numbers Disgraceful,0,0,20 42 2020 02:42.PM
=@russian_market,China is shutting down internet in Wuhan,25,29,20 42 2020 02:42.PM
=@CaptAKJ,"@EndGameWW3 Lots of #US troops I guess. 
That's how the #coronavirus travels. 
#China has lots of blood on it's ?. Sadly many innocents have been caught completely unawares. 
#Wuhan",0,0,20 41 2020 02:41.PM
=@globaltimesnews,"Why Hubei Province reported less new confirmed cases on Wed than its capital city Wuhan? The answer lies in “nucleic acid – minus”, a term used to describe some of Hubei’s cities’ infection cases, which is viewed as negative in Hubei’s total calculation. https://t.co/oVLYJUGDts https://t.co/BLXhHSyiQM",2,2,20 41 2020 02:41.PM
=@shadowstouch1,=@catturd2 Go to Wuhan China and lick doorknobs,0,0,20 41 2020 02:41.PM
=@Grandma26244385,CHINESE YOUTH IN WUHAN TELLS HIS STORY IN FEAR of GOVERNMENT https://t.co/SUWeT9kYoA,0,0,20 41 2020 02:41.PM
=@louisa_ip,China deploys 40 incinerators amid fears of coronavirus death toll 'cover up' https://t.co/02h87UhioR,0,0,20 40 2020 02:40.PM
=@urumurum,"? More than 1,700 doctors infected, Total cases breach 60,000 in China Coronavirus was not genetically engineered in a Wuhan lab, says expert https://t.co/5uUTv6hwZC",0,0,20 40 2020 02:40.PM
=@jasperatAT,"@DutchDrB @247BZ ""In this effort to evacuate 126 people from Wuhan to Frankfurt, a symptom-based screening process was ineffective in detecting SARS-CoV-2 infection in 2 persons who later were found to have evidence of SARS-CoV-2""",0,0,20 40 2020 02:40.PM
=@nCOV19,"Rectal swabs can detect the coronavirus in patients even when conventional oral tests are negative, doctors at the Wuhan Pulmonary Hospital in central China said in a study.",0,0,20 40 2020 02:40.PM
=@BadgerNotorious,#ItalianAirForce Flight Bringing Back Italians ??From The #DiamondPrincess Cruise Ship In Japan ??  Tracked On @freedar_uk  #Freedar #potn #avgeek #Wuhan #Coronavirus #COVID2019 https://t.co/IbMGNynoej,0,0,20 40 2020 02:40.PM
=@shakeelentomol1,See the Bularety of This shameless Insan. A mother crying for her sons but he is enjoying the moment. Shame on u @zfrmrza .  Shame on you @ImranKhanPTI . #EvacuatePakistaniStudents  #Wuhan https://t.co/7smncKmpkG,0,0,20 40 2020 02:40.PM
=@straytski,Wuhan Virus Watch: Over 700 in Washington State Under Supervision for Possible Coronavirus Symptoms https://t.co/w8aK09XZKA,1,0,20 40 2020 02:40.PM
=@Prison_Health,Two inmates at a UK jail were tested for the Wuhan coronavirus after a prisoner collapsed in his cell. Here's why prisons are among the worst places to handle outbreaks https://t.co/Ag6bO8MChk,0,0,20 40 2020 02:40.PM
=@ElsaLeonis,"@ErymanthianThe and the 'sacking' of Prof. Lieber (American) from Wuhan's biological warfare - oops research - dept. Lieber also a zionist, say no more. more facts than conspiracy re him.

https://t.co/J5CNZoM2dk",0,0,20 40 2020 02:40.PM
=@Backstorymom1,Virus claims life of hospital director in hard-hit Wuhan (from @AP) https://t.co/urOhlPJWKS,0,0,20 39 2020 02:39.PM
=@fanmatissec,What?  #JhoLow appears in Wuhan area?  Why?  https://t.co/HOv4Y12yn3,1,1,20 39 2020 02:39.PM
=@AneetaBhole,Join me live at 6:30pm on @SBSNews where we’ll give you the latest on how evacuees from the #diamondprincesscruise are settling in and where to from here for our Wuhan evacuees. We spoke to QLDer Ken Hudson who says he and his wife are recuperating from the journey back to Aus. https://t.co/zoJWtl3ysH,0,1,20 39 2020 02:39.PM
=@josephthavaraja,"#BREAKING 
#china 's forced #lockdown s seem to give #results with reduction of new cases while other countries see #outbreaks due to lack of #lockdown

#coronavirus
#ChinaCoronaVirus
#WuhanCoronavirus
#coronaviruschina
#WuhanOutbreak 
#WuhanPneumonia 
#Wuhan #CoronaVirusOutbreak https://t.co/02vqq856tI",0,0,20 39 2020 02:39.PM
=@Wuhan_Clan,@donCmontgomery You said it Monty !!,0,0,20 39 2020 02:39.PM
=@Galadri09060100,We are the news now! #Coronavius  #wuhan https://t.co/SILKgIXLRe,0,0,20 38 2020 02:38.PM
=@ESahresh,@TalatHussain12 @TalatHussain12  I DID NOT see ny ur tw 2 raise voice 4 #PakistaniStudents stuck in wuhan BUT NW U R USING SITUATION 4 UR OWN ADVANTAGE.  @zfrmrza playing wid lives of students n here u r also playing it for ur own benefit ????  SHAME at u as well #EvacuatePakistaniStudents,0,0,20 37 2020 02:37.PM
=@Blynn1Lynn,"Coronavirus found to have up to 24-day incubation period; CDC releasing Wuhan evacuees in Texas, Nebraska and California after just 14 days – https://t.co/azF6bDHeBX https://t.co/4rgAXzP1OK",1,0,20 37 2020 02:37.PM
=@caida59105742,"@messycow 
Ms. Chen,
I am from Carrboro High School and am researching social interactions during the quarantine of Wuhan. We would love to interview you. If interested contact me at  cmstanelle@students.chccs.k12.nc.us
Thank you for your consideration,
Caida Stanelle",0,0,20 37 2020 02:37.PM
